BUYER CITY,,,OPERATING SYSTEM,,,TRANSAC PER SESSIONS,,,UNIQUE PURCHASES,,,HOUR,,,DAY OF WEEK NAME,,,DAYS SINCE LAST SESSION,,,DEVICE CATEGORY,,,USER TYPE,,,PLATFORM,,,SESSIONS TO TX,,,DAYS TO TX
,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NULL,8633,,Android,5633,,0,17177,,0,6,,7,1,,,x,,,,,,,,,,,,,,,,,
delhi,865,,BlackBerry,1,,100,7,,1,16853,,8,3,,Friday,4421,,0,15871,,,x,,,,,,,,,,,
hyderabad,599,,Chrome OS,9,,150,11,,2,453,,9,1,,Monday,1,,1,150,,desktop,11317,,,x,,,x,,,,,
ahmedabad,556,,iOS,356,,200,152,,3,52,,10,77,,Saturday,2,,2,76,,mobile,6006,,New Visitor,6755,,Desktop,11420,,,,,
bangalore,514,,Linux,644,,300,19,,4,3,,11,71,,Sunday,2,,3,87,,tablet,46,,Returning Visitor,10614,,Mobile Web,5949,,,,,
jaipur,447,,Macintosh,420,,400,1,,5,1,,12,2125,,Thursday,6,,4,76,,,,,,,,,,,,,,
mumbai,438,,Windows,10277,,500,1,,6,1,,13,2849,,Tuesday,12933,,5,37,,,,,,,,,,,,,,
Delhi,281,,Windows Phone,29,,600,1,,,,,14,3779,,Wednesday,4,,6,27,,,,,,,,,,,,,,
City,204,,,,,,,,,,,15,4511,,,,,7,32,,,,,,,,,,,,,,
pune,148,,,,,,,,,,,16,2339,,,,,8,37,,,,,,,,,,,,,,
surat,143,,,,,,,,,,,17,1609,,,,,9,12,,,,,,,,,,,,,,
Jaipur,136,,,,,,,,,,,19,1,,,,,10,8,,,,,,,,,,,,,,
gurgaon,135,,,,,,,,,,,21,1,,,,,11,19,,,,,,,,,,,,,,
chennai,133,,,,,,,,,,,22,1,,,,,12,11,,,,,,,,,,,,,,
Mumbai,133,,,,,,,,,,,23,1,,,,,13,26,,,,,,,,,,,,,,
Ahmedabad,131,,,,,,,,,,,,,,,,,14,22,,,,,,,,,,,,,,
Hyderabad,114,,,,,,,,,,,,,,,,,15,19,,,,,,,,,,,,,,
jodhpur,95,,,,,,,,,,,,,,,,,16,11,,,,,,,,,,,,,,
Bangalore,86,,,,,,,,,,,,,,,,,17,18,,,,,,,,,,,,,,
kolkata,86,,,,,,,,,,,,,,,,,18,26,,,,,,,,,,,,,,
gautam buddha nagar,78,,,,,,,,,,,,,,,,,19,6,,,,,,,,,,,,,,
udaipur,76,,,,,,,,,,,,,,,,,20,36,,,,,,,,,,,,,,
faridabad,69,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,
ghaziabad,69,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,
visakhapatnam,67,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,
indore,59,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
bhopal,58,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
Jodhpur,54,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,
nagpur,54,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,
coimbatore,53,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
ajmer,51,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,
ludhiana,49,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
gandhinagar,48,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,
rajkot,44,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,
vadodara,40,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,
kanchipuram,39,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,
kanpur,39,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,
bikaner,38,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,
nashik,38,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,
Kolkata,33,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,
lucknow,33,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,
Bhopal,32,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
nadiad,32,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,
