,date,transactionId,sessionsToTransaction,daysToTransaction,transactions,GACity,GAProduct name,GATransacionRevenue,Match GA-DB (commitment fees),City,Product_type,MatchProduct,Matched Revenue,Matched City
332,07-04-2017,1060073,3,0,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
473,10-04-2017,1060076,213,109,1,Gurgaon,seller concierge,1299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
474,10-04-2017,1060077,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
475,10-04-2017,1060078,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
476,10-04-2017,1060081,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
477,10-04-2017,1060082,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
478,10-04-2017,1060083,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
479,10-04-2017,1060084,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
480,10-04-2017,1060085,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
481,10-04-2017,1060086,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
482,10-04-2017,1060087,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
483,10-04-2017,1060089,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
484,10-04-2017,1060091,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
485,10-04-2017,1060096,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
486,10-04-2017,1060097,213,109,1,Gurgaon,seller concierge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15159,24-04-2017,1060099,238,123,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15160,24-04-2017,1060106,238,123,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15161,24-04-2017,1060111,238,123,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15162,24-04-2017,1060119,241,124,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15163,24-04-2017,1060123,241,124,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15164,24-04-2017,1060127,241,124,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15165,24-04-2017,1060135,241,124,1,Gurgaon,Assistance-Silver,602,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15166,24-04-2017,1060139,241,124,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15167,24-04-2017,1060143,241,124,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15168,24-04-2017,1060147,1,0,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15169,24-04-2017,1060151,242,124,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15170,24-04-2017,1060155,242,124,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15225,25-04-2017,1060155,243,124,1,Gurgaon,Assistance-Silver,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15226,25-04-2017,1060179,244,124,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15227,25-04-2017,1060183,244,124,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15228,25-04-2017,1060191,246,125,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15229,25-04-2017,1060199,246,125,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15814,26-04-2017,1060203,7,1,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15815,26-04-2017,1060207,7,1,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15816,26-04-2017,1060211,7,1,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15817,26-04-2017,1060223,8,1,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
15818,26-04-2017,1060227,8,1,1,Gurgaon,Assistance,504,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
162,05-04-2017,1277319,386,127,1,Gurgaon,Maruti Suzuki WAGON R VXI 2010,5500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
163,05-04-2017,1277319,387,127,1,Gurgaon,Maruti Suzuki WAGON R VXI 2010,5500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
164,05-04-2017,1277319,388,127,1,Gurgaon,Maruti Suzuki WAGON R VXI 2010,5500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
165,05-04-2017,1277322,388,127,1,Gurgaon,Chevrolet Tavera NEO LS B3 10 STR BS III 2009,8000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
166,05-04-2017,1277324,388,127,1,Gurgaon,Honda Accord 2008 2.4 AT,11400,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
167,05-04-2017,1277325,388,127,1,Gurgaon,Honda Accord 2007 3.0 V6 AT,8500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1,01-04-2017,1277395,93,45,1,Gurgaon,Test Drive,1100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,01-04-2017,1277397,93,45,1,Gurgaon,Studs eagle 110 2017,1000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,01-04-2017,1277398,93,45,1,Gurgaon,Studs eagle 110 2017,1000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
487,10-04-2017,1727742,84,42,1,Gurgaon,Hero Passion PRO 100 cc 2013,1688,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
488,10-04-2017,1727744,85,42,1,Gurgaon,Honda CB Twister 109cc 2012,653,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
547,11-04-2017,1727748,5,1,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
548,11-04-2017,1727749,5,1,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
549,11-04-2017,1727749,6,1,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
550,11-04-2017,1727750,6,1,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
605,12-04-2017,1727753,8,2,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
606,12-04-2017,1727757,9,2,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
607,12-04-2017,1727758,9,2,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
608,12-04-2017,1727759,9,2,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
609,12-04-2017,1727765,10,2,1,Gurgaon,Auto Inspection - Bike Inspection,250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,01-04-2017,1729036,2,0,1,Gurgaon,Bajaj CT100 B100cc 2016,811,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,01-04-2017,1729057,7,1,1,Gurgaon,Auto Inspection - Bike Inspection,282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
79,03-04-2017,1729070,9,3,1,Gurgaon,Auto Inspection - Bike Inspection,282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
80,03-04-2017,1729075,55,24,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
81,03-04-2017,1729078,55,24,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
82,03-04-2017,1729086,55,24,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
83,03-04-2017,1729087,55,24,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
84,03-04-2017,1729092,2,0,1,Gurgaon,seller conceirge,599,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
85,03-04-2017,1729093,31,11,1,Gurgaon,Yamaha FZs 150cc 2014,1403,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
86,03-04-2017,1729094,2,0,1,Gurgaon,seller conceirge,599,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
87,03-04-2017,1729105,4,0,1,Gurgaon,seller conceirge,599,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
88,03-04-2017,1729111,1,0,1,Gurgaon,Auto Inspection - Bike Inspection,249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
109,04-04-2017,1729118,1,0,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
110,04-04-2017,1729119,1,0,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
111,04-04-2017,1729120,1,0,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
112,04-04-2017,1729121,1,0,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
113,04-04-2017,1729123,85,28,1,Gurgaon,Toyota Innova 2.5 Z 7 SEATER 2014,27000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
114,04-04-2017,1729124,85,28,1,Gurgaon,Auto Inspection - Extensive Car Inspection,799,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
115,04-04-2017,1729129,1,0,1,Gurgaon,Auto Inspection - Bike Inspection,249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
116,04-04-2017,1729135,1,0,1,Gurgaon,Maruti Suzuki 800 AC 1989,91358,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
117,04-04-2017,1729136,1,0,1,Gurgaon,Hyundai i10 ASTA 1.2 2008,9000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
118,04-04-2017,1729140,1,0,1,Gurgaon,Maruti Suzuki SWIFT Deca Limited Edition Vdi 2015,86846,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
119,04-04-2017,1729142,1,0,1,Gurgaon,Bentley Continental GT Speed 2010,260000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
120,04-04-2017,1729149,88,29,1,Gurgaon,Auto Inspection - Basic Car Inspection,499,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
121,04-04-2017,1729150,88,29,1,Gurgaon,Maruti Alto K10 LXI 2015,485,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
122,04-04-2017,1729152,1,0,1,Gurgaon,Maruti Suzuki Swift LDi 2005,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
123,04-04-2017,1729154,1,0,1,Gurgaon,Mahindra TUV300 T4 2015,13000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
124,04-04-2017,1729157,1,0,1,Gurgaon,Maruti Alto 800 CNG LXI 2015,58599,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
125,04-04-2017,1729161,2,0,1,Gurgaon,Maruti Suzuki Swift 1.2 Vxi BS-IV 2008,113578,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
126,04-04-2017,1729165,3,0,1,Gurgaon,Auto Inspection - Bike Inspection,249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
127,04-04-2017,1729172,8,1,1,Gurgaon,seller conceirge,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
168,05-04-2017,1729175,4,0,1,Gurgaon,Auto Inspection - Bike Inspection,249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
169,05-04-2017,1729183,6,1,1,Gurgaon,Suzuki Access 125cc 2007,75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
170,05-04-2017,1729186,1,0,1,Gurgaon,Maruti Suzuki SWIFT Deca Limited Edition Vdi 2015,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
171,05-04-2017,1729190,388,127,1,Gurgaon,Tata Indica Vista LS TDI BS III 2014,1000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
172,05-04-2017,1729191,7,6,1,Gurgaon,Mahindra Bolero SLE 2008,7400,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
173,05-04-2017,1729193,41,13,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
174,05-04-2017,1729198,41,13,1,Gurgaon,Skoda Yeti Ambition 4x4 2011,17000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
175,05-04-2017,1729200,388,127,1,Gurgaon,Toyota Corolla Altis 1.8 GL 2011,28511,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
176,05-04-2017,1729203,7,6,1,Gurgaon,Honda City 1.5 S MT 2012,11900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
177,05-04-2017,1729206,5,1,1,Gurgaon,Auto Inspection - Basic Car Inspection,499,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
178,05-04-2017,1729208,7,6,1,Gurgaon,Maruti Suzuki SWIFT Vdi 2014,9800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
179,05-04-2017,1729210,5,1,1,Gurgaon,Auto Inspection - Bike Inspection,299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
180,05-04-2017,1729210,6,1,1,Gurgaon,Auto Inspection - Bike Inspection,299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
181,05-04-2017,1729214,42,13,1,Gurgaon,Gift Certificate,1000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
182,05-04-2017,1729215,42,13,1,Gurgaon,Datsun GO A 2014,7000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
183,05-04-2017,1729221,6,1,1,Gurgaon,Auto Inspection - Bike Inspection,249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
255,06-04-2017,1729236,8,1,1,Gurgaon,Auto Inspection - Bike Inspection,249,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
256,06-04-2017,1729244,1,0,1,Gurgaon,Hyundai Accent CNG 2009,436,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
257,06-04-2017,1729245,8,1,1,Gurgaon,Auto Inspection - Bike Inspection,299,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
258,06-04-2017,1729246,46,14,1,Gurgaon,Auto Inspection - Extensive Car Inspection,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
259,06-04-2017,1729247,8,1,1,Gurgaon,Auto Inspection - Extensive Car Inspection,999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
260,06-04-2017,1729249,1,0,1,Gurgaon,Maruti Alto K10 LXI 2015,960,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
261,06-04-2017,1729250,46,14,1,Gurgaon,Auto Inspection - Extensive Car Inspection,512,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
262,06-04-2017,1729271,47,14,1,Gurgaon,Daewoo Matiz SD 2001,600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
263,06-04-2017,1729274,47,14,1,Gurgaon,BMW X3 sDrive 20d 2009,33000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
264,06-04-2017,1729276,47,14,1,Gurgaon,Mahindra Renault Logan GLX 1.4 2008,2700,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
265,06-04-2017,1729277,47,14,1,Gurgaon,Mahindra Stallio 100cc 2010,500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
266,06-04-2017,1729284,1,0,1,Gurgaon,Maruti Suzuki SWIFT Vdi 2015,13000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
267,06-04-2017,1729289,1,0,1,Gurgaon,Honda City 1.5 S MT 2012,12450,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
268,06-04-2017,1729291,1,0,1,Gurgaon,Nissan Micra Active XV 2016,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
269,06-04-2017,1729292,1,0,1,Gurgaon,Auto Inspection - Extensive Car Inspection,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
270,06-04-2017,1729314,2,0,1,Gurgaon,Maruti Suzuki 1000 AC 1990,1753,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
271,06-04-2017,1729319,2,0,1,Gurgaon,Mercedes-Benz C-Class 220 CDI AT 2012,39000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
333,07-04-2017,1729321,9,4,1,Gurgaon,Maruti Suzuki Alto K10 LX 2015,1000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
334,07-04-2017,1729323,10,4,1,Gurgaon,Honda Dream Yuga 109cc 2013,750,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
335,07-04-2017,1729325,46,21,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
336,07-04-2017,1729326,46,21,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
337,07-04-2017,1729328,46,21,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
338,07-04-2017,1729329,46,21,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
339,07-04-2017,1729331,46,21,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
340,07-04-2017,1729333,46,21,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
341,07-04-2017,1729335,1,0,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
342,07-04-2017,1729336,11,3,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
343,07-04-2017,1729338,11,3,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
344,07-04-2017,1729339,11,3,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
345,07-04-2017,1729340,11,3,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
346,07-04-2017,1729341,11,3,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
347,07-04-2017,1729342,48,21,1,Gurgaon,Report,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
489,10-04-2017,1729344,2,0,1,Gurgaon,Tata Indica V2 DLE BS II 2006,24000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
490,10-04-2017,1729347,2,0,1,Gurgaon,Mahindra Scorpio Getaway 4WD 2007,10775,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
491,10-04-2017,1729356,13,178,1,Gurgaon,Gift Certificate,1000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
492,10-04-2017,1729357,13,178,1,Gurgaon,Gift Certificate,1000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
493,10-04-2017,1729361,5,0,1,Gurgaon,Honda City 1.5 E MT 2008,7518,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
494,10-04-2017,1729366,80,34,1,Gurgaon,Honda City i-vtec 2010,14222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
551,11-04-2017,1729374,102,35,1,Gurgaon,Volkswagen Polo COMFORTLINE 1.2L PETROL 2010,5738,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
552,11-04-2017,1729375,69,32,1,Gurgaon,Honda Amaze ZXI 2014,1125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
553,11-04-2017,1729376,2,0,1,Gurgaon,Renault Duster 85 PS RXL 2012,15975,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
554,11-04-2017,1729377,3,14,1,Gurgaon,Honda Activa 109 2014,1100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
670,13-04-2017,1729377,4,16,1,Gurgaon,Honda Activa 109 2014,1100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
610,12-04-2017,1729385,74,33,1,Gurgaon,Engine Warranty,1348,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
611,12-04-2017,1729388,85,36,1,Gurgaon,Auto Inspection - Extensive Car Inspection,513,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
612,12-04-2017,1729391,85,36,1,Gurgaon,Auto Inspection - Bike Inspection,282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
613,12-04-2017,1729391,86,36,1,Gurgaon,Auto Inspection - Bike Inspection,282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
614,12-04-2017,1729393,74,33,1,Gurgaon,Auto Inspection - Extensive Car Inspection,1498,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
772,15-04-2017,1729396,21,11,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
773,15-04-2017,1729397,21,11,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
774,15-04-2017,1729398,21,11,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
878,17-04-2017,1729400,1,0,1,Gurgaon,New Droom Branded Helmet - Ascone,436,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
879,17-04-2017,1729401,1,0,1,Gurgaon,New Droom Branded Helmet - Ascone,428,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
880,17-04-2017,1729402,1,0,1,Gurgaon,Maruti Alto 800 CNG LXI 2015,7748,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
962,18-04-2017,1729409,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
963,18-04-2017,1729410,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
964,18-04-2017,1729411,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
965,18-04-2017,1729412,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
966,18-04-2017,1729414,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
967,18-04-2017,1729415,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
968,18-04-2017,1729416,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
969,18-04-2017,1729417,22,14,1,Gurgaon,New Droom Branded Helmet - Radixe,891,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
