"","transactionId","city","users","sessions","pageviews"
"1","1060073","Gurgaon",1,0,0
"2","1060076","Gurgaon",1,0,0
"3","1060077","Gurgaon",1,0,0
"4","1060078","Gurgaon",1,0,0
"5","1060081","Gurgaon",1,0,0
"6","1060082","Gurgaon",1,0,0
"7","1060083","Gurgaon",1,0,0
"8","1060084","Gurgaon",1,0,0
"9","1060085","Gurgaon",1,0,0
"10","1060086","Gurgaon",1,0,0
"11","1060087","Gurgaon",1,0,0
"12","1060089","Gurgaon",1,0,0
"13","1060091","Gurgaon",1,0,0
"14","1060096","Gurgaon",1,0,0
"15","1060097","Gurgaon",1,0,0
"16","1060099","Gurgaon",1,0,0
"17","1060106","Gurgaon",1,0,0
"18","1060111","Gurgaon",1,0,0
"19","1060119","Gurgaon",1,0,0
"20","1060123","Gurgaon",1,0,0
"21","1060127","Gurgaon",1,0,0
"22","1060135","Gurgaon",1,0,0
"23","1060139","Gurgaon",1,0,0
"24","1060143","Gurgaon",1,0,0
"25","1060147","Gurgaon",1,0,0
"26","1060151","Gurgaon",1,0,0
"27","1060155","Gurgaon",1,0,0
"28","1060179","Gurgaon",1,0,0
"29","1060183","Gurgaon",1,0,0
"30","1060191","Gurgaon",1,0,0
"31","1060199","Gurgaon",1,0,0
"32","1060203","Gurgaon",1,0,0
"33","1060207","Gurgaon",1,0,0
"34","1060211","Gurgaon",1,0,0
"35","1060223","Gurgaon",1,0,0
"36","1060227","Gurgaon",1,0,0
"37","1277319","Gurgaon",1,0,0
"38","1277322","Gurgaon",1,0,0
"39","1277324","Gurgaon",1,0,0
"40","1277325","Gurgaon",1,0,0
"41","1277395","Gurgaon",1,0,0
"42","1277397","Gurgaon",1,0,0
"43","1277398","Gurgaon",1,0,0
"44","1727742","Gurgaon",1,0,0
"45","1727744","Gurgaon",1,0,0
"46","1727748","Gurgaon",1,0,0
"47","1727749","Gurgaon",1,0,0
"48","1727750","Gurgaon",1,0,0
"49","1727753","Gurgaon",1,0,0
"50","1727757","Gurgaon",1,0,0
"51","1727758","Gurgaon",1,0,0
"52","1727759","Gurgaon",1,0,0
"53","1727765","Gurgaon",1,0,0
"54","1729036","Gurgaon",1,0,0
"55","1729057","Gurgaon",1,0,0
"56","1729070","Gurgaon",1,0,0
"57","1729075","Gurgaon",1,0,0
"58","1729078","Gurgaon",1,0,0
"59","1729086","Gurgaon",1,0,0
"60","1729087","Gurgaon",1,0,0
"61","1729092","Gurgaon",1,0,0
"62","1729093","Gurgaon",1,0,0
"63","1729094","Gurgaon",1,0,0
"64","1729105","Gurgaon",1,0,0
"65","1729111","Gurgaon",1,0,0
"66","1729118","Gurgaon",1,0,0
"67","1729119","Gurgaon",1,0,0
"68","1729120","Gurgaon",1,0,0
"69","1729121","Gurgaon",1,0,0
"70","1729123","Gurgaon",1,0,0
"71","1729124","Gurgaon",1,0,0
"72","1729129","Gurgaon",1,0,0
"73","1729135","Gurgaon",1,0,0
"74","1729136","Gurgaon",1,0,0
"75","1729140","Gurgaon",1,0,0
"76","1729142","Gurgaon",1,0,0
"77","1729149","Gurgaon",1,0,0
"78","1729150","Gurgaon",1,0,0
"79","1729152","Gurgaon",1,0,0
"80","1729154","Gurgaon",1,0,0
"81","1729157","Gurgaon",1,0,0
"82","1729161","Gurgaon",1,0,0
"83","1729165","Gurgaon",1,0,0
"84","1729172","Gurgaon",1,0,0
"85","1729175","Gurgaon",1,0,0
"86","1729183","Gurgaon",1,0,0
"87","1729186","Gurgaon",1,0,0
"88","1729190","Gurgaon",1,0,0
"89","1729191","Gurgaon",1,0,0
"90","1729193","Gurgaon",1,0,0
"91","1729198","Gurgaon",1,0,0
"92","1729200","Gurgaon",1,0,0
"93","1729203","Gurgaon",1,0,0
"94","1729206","Gurgaon",1,0,0
"95","1729208","Gurgaon",1,0,0
"96","1729210","Gurgaon",1,0,0
"97","1729214","Gurgaon",1,0,0
"98","1729215","Gurgaon",1,0,0
"99","1729221","Gurgaon",1,0,0
"100","1729236","Gurgaon",1,0,0
"101","1729244","Gurgaon",1,0,0
"102","1729245","Gurgaon",1,0,0
"103","1729246","Gurgaon",1,0,0
"104","1729247","Gurgaon",1,0,0
"105","1729249","Gurgaon",1,0,0
"106","1729250","Gurgaon",1,0,0
"107","1729271","Gurgaon",1,0,0
"108","1729274","Gurgaon",1,0,0
"109","1729276","Gurgaon",1,0,0
"110","1729277","Gurgaon",1,0,0
"111","1729284","Gurgaon",1,0,0
"112","1729289","Gurgaon",1,0,0
"113","1729291","Gurgaon",1,0,0
"114","1729292","Gurgaon",1,0,0
"115","1729314","Gurgaon",1,0,0
"116","1729319","Gurgaon",1,0,0
"117","1729321","Gurgaon",1,0,0
"118","1729323","Gurgaon",1,0,0
"119","1729325","Gurgaon",1,0,0
"120","1729326","Gurgaon",1,0,0
"121","1729328","Gurgaon",1,0,0
"122","1729329","Gurgaon",1,0,0
"123","1729331","Gurgaon",1,0,0
"124","1729333","Gurgaon",1,0,0
"125","1729335","Gurgaon",1,0,0
"126","1729336","Gurgaon",1,0,0
"127","1729338","Gurgaon",1,0,0
"128","1729339","Gurgaon",1,0,0
"129","1729340","Gurgaon",1,0,0
"130","1729341","Gurgaon",1,0,0
"131","1729342","Gurgaon",1,0,0
"132","1729344","Gurgaon",1,0,0
"133","1729347","Gurgaon",1,0,0
"134","1729356","Gurgaon",1,0,0
"135","1729357","Gurgaon",1,0,0
"136","1729361","Gurgaon",1,0,0
"137","1729366","Gurgaon",1,0,0
"138","1729374","Gurgaon",1,0,0
"139","1729375","Gurgaon",1,0,0
"140","1729376","Gurgaon",1,0,0
"141","1729377","Gurgaon",1,0,0
"142","1729377","New Delhi",1,0,0
"143","1729385","Gurgaon",1,0,0
"144","1729388","Gurgaon",1,0,0
"145","1729391","Gurgaon",1,0,0
"146","1729393","Gurgaon",1,0,0
"147","1729396","Gurgaon",1,0,0
"148","1729397","Gurgaon",1,0,0
"149","1729398","Gurgaon",1,0,0
"150","1729400","Gurgaon",1,0,0
"151","1729401","Gurgaon",1,0,0
"152","1729402","Gurgaon",1,0,0
"153","1729409","Gurgaon",1,0,0
"154","1729410","Gurgaon",1,0,0
"155","1729411","Gurgaon",1,0,0
"156","1729412","Gurgaon",1,0,0
"157","1729414","Gurgaon",1,0,0
"158","1729415","Gurgaon",1,0,0
"159","1729416","Gurgaon",1,0,0
"160","1729417","Gurgaon",1,0,0
"161","1729418","Gurgaon",1,0,0
"162","1729419","Gurgaon",1,0,0
"163","1729420","Gurgaon",1,0,0
"164","1729421","Gurgaon",1,0,0
"165","1729422","Gurgaon",1,0,0
"166","1729424","Gurgaon",1,0,0
"167","1729425","Gurgaon",1,0,0
"168","1729426","Gurgaon",1,0,0
"169","1729427","Gurgaon",1,0,0
"170","1729428","Gurgaon",1,0,0
"171","1729429","Gurgaon",1,0,0
"172","1729430","Gurgaon",1,0,0
"173","1729431","Gurgaon",1,0,0
"174","1729432","Gurgaon",1,0,0
"175","1729433","Gurgaon",1,0,0
"176","1729434","Gurgaon",1,0,0
"177","1729436","Gurgaon",1,0,0
"178","1729438","Gurgaon",1,0,0
"179","1729440","Gurgaon",1,0,0
"180","1729445","Gurgaon",1,0,0
"181","1729447","Gurgaon",1,0,0
"182","1729448","Gurgaon",1,0,0
"183","1729450","Gurgaon",1,0,0
"184","1729454","Gurgaon",1,0,0
"185","1729465","Gurgaon",1,0,0
"186","1729466","Gurgaon",1,0,0
"187","1729468","Gurgaon",1,0,0
"188","1729470","Gurgaon",1,0,0
"189","1729472","Gurgaon",1,0,0
"190","1729475","Gurgaon",1,0,0
"191","1729477","Gurgaon",1,0,0
"192","1729478","Gurgaon",1,0,0
"193","1729479","Gurgaon",1,0,0
"194","1729483","Gurgaon",1,0,0
"195","1729484","Gurgaon",1,0,0
"196","1729485","Gurgaon",1,0,0
"197","1729486","Gurgaon",1,0,0
"198","1729488","Gurgaon",1,0,0
"199","1729490","Gurgaon",1,0,0
"200","1729492","Gurgaon",1,0,0
"201","1729502","Gurgaon",1,0,0
"202","1729505","Gurgaon",1,0,0
"203","1729507","Gurgaon",1,0,0
"204","1729510","Gurgaon",1,0,0
"205","1729511","Gurgaon",1,0,0
"206","1729512","Gurgaon",1,0,0
"207","1729527","Gurgaon",1,0,0
"208","1729532","Gurgaon",1,0,0
"209","1729540","Gurgaon",1,0,0
"210","1729551","Gurgaon",1,0,0
"211","1729553","Gurgaon",1,0,0
"212","1729557","Gurgaon",1,0,0
"213","1729559","Gurgaon",1,0,0
"214","1729560","Gurgaon",1,0,0
"215","1729565","Gurgaon",1,0,0
"216","1729566","Gurgaon",1,0,0
"217","1729572","Gurgaon",1,0,0
"218","1729579","Gurgaon",1,0,0
"219","1729584","Gurgaon",1,0,0
"220","1729586","Gurgaon",1,0,0
"221","1729595","Gurgaon",1,0,0
"222","1729600","Gurgaon",1,0,0
"223","1729604","Gurgaon",1,0,0
"224","1729607","Gurgaon",1,0,0
"225","1729611","Gurgaon",1,0,0
"226","1729618","Gurgaon",1,0,0
"227","1729627","Gurgaon",1,0,0
"228","1729628","Gurgaon",1,0,0
"229","1729629","Gurgaon",1,0,0
