,date,transactionId,sessionsToTransaction,daysToTransaction,transactions,transactionRevenue
332,07-04-2017,1060073,3,0,1,999
473,10-04-2017,1060076,213,109,1,1299
474,10-04-2017,1060077,213,109,1,999
475,10-04-2017,1060078,213,109,1,999
476,10-04-2017,1060081,213,109,1,999
477,10-04-2017,1060082,213,109,1,999
478,10-04-2017,1060083,213,109,1,999
479,10-04-2017,1060084,213,109,1,999
480,10-04-2017,1060085,213,109,1,999
481,10-04-2017,1060086,213,109,1,999
482,10-04-2017,1060087,213,109,1,999
483,10-04-2017,1060089,213,109,1,999
484,10-04-2017,1060091,213,109,1,999
485,10-04-2017,1060096,213,109,1,999
486,10-04-2017,1060097,213,109,1,999
15159,24-04-2017,1060099,238,123,1,504
15160,24-04-2017,1060106,238,123,1,504
15161,24-04-2017,1060111,238,123,1,504
15162,24-04-2017,1060119,241,124,1,504
15163,24-04-2017,1060123,241,124,1,504
15164,24-04-2017,1060127,241,124,1,504
15165,24-04-2017,1060135,241,124,1,602
15166,24-04-2017,1060139,241,124,1,504
15167,24-04-2017,1060143,241,124,1,504
15168,24-04-2017,1060147,1,0,1,504
15169,24-04-2017,1060151,242,124,1,504
15170,24-04-2017,1060155,242,124,1,504
15225,25-04-2017,1060155,243,124,1,504
15226,25-04-2017,1060179,244,124,1,504
15227,25-04-2017,1060183,244,124,1,504
15228,25-04-2017,1060191,246,125,1,504
15229,25-04-2017,1060199,246,125,1,504
15814,26-04-2017,1060203,7,1,1,504
15815,26-04-2017,1060207,7,1,1,504
15816,26-04-2017,1060211,7,1,1,504
15817,26-04-2017,1060223,8,1,1,504
15818,26-04-2017,1060227,8,1,1,504
162,05-04-2017,1277319,386,127,1,5500
163,05-04-2017,1277319,387,127,1,5500
164,05-04-2017,1277319,388,127,1,5500
165,05-04-2017,1277322,388,127,1,8000
166,05-04-2017,1277324,388,127,1,11400
167,05-04-2017,1277325,388,127,1,8500
1,01-04-2017,1277395,93,45,1,1100
2,01-04-2017,1277397,93,45,1,1000
3,01-04-2017,1277398,93,45,1,1000
