GA_REVENUE,daysSinceLastSession,browser,mobileDeviceBranding,newOrReturning,hour,dayOfWeekName,orderCouponCode,shoppingStage,transactions,checkoutOptions,buyToDetailRate,transactionsPerSession,transactionShipping,transactionTax,uniquePurchases,cartToDetailRate,quantityAddedToCart,quantityCheckedOut,quantityRemovedFromCart,sessions_to_transaction,days_to_transaction,type
3900,0,Chrome,none,Returning Visitor,11,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
17600,0,Chrome,none,Returning Visitor,13,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,3,0,0
15600,0,Chrome,none,Returning Visitor,13,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,3,0,0
4500,0,Chrome,none,Returning Visitor,14,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,21,13,0
9200,0,Firefox,none,New Visitor,15,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
500,1,Chrome,none,Returning Visitor,15,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,3,1,0
900,11,Firefox,none,Returning Visitor,15,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,11,0
5000,0,Chrome,none,Returning Visitor,15,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,5,0
8500,0,Chrome,none,Returning Visitor,15,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,5,0
4500,0,Chrome,none,Returning Visitor,16,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,5,0
2550,0,Chrome,Samsung,Returning Visitor,16,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,6,0
9500,0,Chrome,none,Returning Visitor,16,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,5,0
4600,0,Chrome,none,Returning Visitor,16,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,22,13,0
5500,0,Chrome,none,Returning Visitor,16,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,5,0
4500,0,Chrome,none,Returning Visitor,16,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,5,0
5000,0,Chrome,none,Returning Visitor,16,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,5,0
5500,0,Chrome,none,Returning Visitor,16,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,10,5,0
24500,0,Chrome,none,Returning Visitor,17,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,70,80,0
6800,0,Chrome,none,Returning Visitor,17,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,70,80,0
6500,0,Firefox,none,Returning Visitor,17,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
6300,0,Chrome,none,Returning Visitor,17,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,70,80,0
11000,0,Chrome,none,Returning Visitor,17,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,493,105,0
9500,0,Chrome,none,Returning Visitor,18,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,493,105,0
900,0,Chrome,none,Returning Visitor,18,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,20,7,0
12600,0,Edge,none,New Visitor,19,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
775,0,Chrome,none,Returning Visitor,20,Wednesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,3,1,0
5700,0,Chrome,none,Returning Visitor,11,Thursday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
