order_id,platform,vehicle_category,commitment_fee,GA_REVENUE
1736001,Android,Motorcycle/Bike,863,#N/A
1736011,Android,Scooter,788,#N/A
1736021,Desktop,Car,3900,3900
1736031,Desktop,Auto Inspection,512,#N/A
1736071,Android,Car,16000,#N/A
1736091,Android,Scooter,650,#N/A
1736111,Desktop,Car,17600,17600
1736121,Desktop,Car,15600,15600
1736141,Android,Motorcycle/Bike,1400,#N/A
1736151,Desktop,Car,4500,4500
1736161,Android,Scooter,1100,#N/A
1736171,Android,Scooter,967,#N/A
1736181,Web,,4600,#N/A
1736191,Android,Motorcycle/Bike,775,#N/A
1736201,Android,Scooter,350,#N/A
1736211,Android,Car,11000,#N/A
1736221,Desktop,Car,9200,9200
1736231,Android,Car,10000,#N/A
1736241,Android,Car,10000,#N/A
1736251,Android,Motorcycle/Bike,912,#N/A
1736271,Desktop,Scooter,500,500
1736281,Android,Motorcycle/Bike,1150,#N/A
1736291,Android,Motorcycle/Bike,1012,#N/A
1736301,Desktop,Motorcycle/Bike,900,900
1736311,Desktop,Car,5000,5000
1736321,Desktop,Car,8500,8500
1736331,Desktop,Car,4500,4500
1736351,Mobile Web,Motorcycle/Bike,2550,2550
1736361,Desktop,Car,9500,9500
1736381,Desktop,Car,4600,4600
1736391,Android,Motorcycle/Bike,563,#N/A
1736401,Desktop,Car,5500,5500
1736411,Desktop,Car,4500,4500
1736421,Desktop,Car,5000,5000
1736431,Android,Car,15000,#N/A
1736441,Desktop,Car,5500,5500
1736471,Desktop,Car,24500,24500
1736491,Desktop,Car,6800,6800
1736501,Desktop,Car,6500,6500
1736511,Desktop,Car,6300,6300
1736521,Android,Motorcycle/Bike,3000,#N/A
1736531,IoS,Motorcycle/Bike,1075,#N/A
1736541,Desktop,Car,11000,11000
1736551,Desktop,Car,9500,9500
1736571,IoS,Car,11000,#N/A
1736581,Desktop,Scooter,900,900
1736591,Android,Car,5000,#N/A
1736601,Android,Car,10000,#N/A
1736611,Desktop,Auto Inspection,512,#N/A
1736621,Desktop,Auto Inspection,512,#N/A
1736631,Desktop,Auto Inspection,512,#N/A
1736641,Desktop,Auto Inspection,512,#N/A
1736651,Desktop,Auto Inspection,512,#N/A
1736661,Desktop,Auto Inspection,512,#N/A
1736671,Android,Motorcycle/Bike,950,#N/A
1736691,Desktop,Car,12600,12600
1736701,Android,Car,30000,#N/A
1736721,Android,Motorcycle/Bike,700,#N/A
1736731,Android,Scooter,775,#N/A
1736741,Android,Motorcycle/Bike,650,#N/A
1736751,Desktop,Scooter,775,775
1736761,Android,Motorcycle/Bike,600,#N/A
1736771,Android,Motorcycle/Bike,650,#N/A
1736781,Android,Motorcycle/Bike,625,#N/A
1736811,Web,,9200,#N/A
1736881,Android,Scooter,600,#N/A
1736891,Android,Scooter,788,#N/A
1736921,Web,,9200,#N/A
1736931,Web,,34500,#N/A
1736941,Web,,34500,#N/A
1736951,Web,,34500,#N/A
1736961,Web,,9200,#N/A
1736971,Web,,9200,#N/A
1736981,Web,,3450,#N/A
1737001,Android,Car,6200,#N/A
1737011,Android,Scooter,575,#N/A
1737041,Web,,1725,#N/A
1737091,Android,Scooter,838,#N/A
1737101,Desktop,Car,5700,5700
1737141,IoS,Car,6500,#N/A
1737161,Android,Motorcycle/Bike,1750,#N/A
1737171,Android,Motorcycle/Bike,1000,#N/A
1737211,Android,Motorcycle/Bike,950,#N/A
1737221,Android,Motorcycle/Bike,800,#N/A
1737231,Android,Motorcycle/Bike,625,#N/A
1737241,Android,Motorcycle/Bike,600,#N/A
1737251,Desktop,Car,15300,15300
1737261,Desktop,Car,10000,10000
1737271,Android,Motorcycle/Bike,725,#N/A
1737281,Android,Motorcycle/Bike,950,#N/A
1737291,Desktop,Car,13500,13500
1737311,Desktop,Auto Inspection,512,#N/A
1737321,Desktop,Auto Inspection,512,#N/A
1737331,Desktop,Auto Inspection,512,#N/A
1737341,Desktop,Auto Inspection,512,#N/A
1737351,Desktop,Auto Inspection,512,#N/A
1737361,Desktop,Auto Inspection,512,#N/A
1737371,Desktop,Auto Inspection,512,#N/A
1737381,Desktop,Auto Inspection,512,#N/A
1737391,Desktop,Auto Inspection,512,#N/A
1737401,Desktop,Auto Inspection,512,#N/A
1737411,Desktop,Auto Inspection,512,#N/A
1737421,Desktop,Auto Inspection,512,#N/A
1737431,Desktop,Auto Inspection,512,#N/A
1737441,Desktop,Auto Inspection,512,#N/A
1737451,Desktop,Auto Inspection,512,#N/A
1737461,Desktop,Auto Inspection,512,#N/A
1737471,Desktop,Auto Inspection,512,#N/A
1737481,Desktop,Motorcycle/Bike,1300,1300
1737491,Android,Motorcycle/Bike,725,#N/A
1737511,IoS,Car,5500,#N/A
1737521,Android,Motorcycle/Bike,375,#N/A
1737531,Android,Motorcycle/Bike,725,#N/A
1737541,IoS,Scooter,775,#N/A
1737561,IoS,Motorcycle/Bike,750,#N/A
1737571,Android,Scooter,625,#N/A
1737591,Android,Motorcycle/Bike,687,#N/A
1737601,Desktop,Car,20000,20000
1737611,Android,Motorcycle/Bike,650,#N/A
1737621,Android,Car,5200,#N/A
1737631,Android,Motorcycle/Bike,942,#N/A
1737641,Web,,1725,#N/A
1737681,Android,Scooter,887,#N/A
1737701,Android,Motorcycle/Bike,950,#N/A
1737711,Android,Motorcycle/Bike,662,#N/A
1737721,Desktop,Motorcycle/Bike,938,938
1737731,Android,Motorcycle/Bike,700,#N/A
1737741,Desktop,Car,4000,4000
1737751,Desktop,Motorcycle/Bike,863,863
1737761,App,Car,5200,#N/A
1737771,Mobile Web,Scooter,675,675
1737781,Web,,9200,#N/A
1737791,Desktop,Motorcycle/Bike,713,713
1737831,IoS,Car,29000,#N/A
1737841,Android,Scooter,900,#N/A
1737851,Desktop,Car,11600,11600
1737861,Desktop,Premium / Super Car,38000,38000
1737871,Desktop,Car,8000,8000
1737881,Mobile Web,Car,7500,7500
1737891,App,Car,4500,#N/A
1737901,Desktop,Car,4500,4500
1737911,App,Motorcycle/Bike,2700,#N/A
1737921,Desktop,Scooter,675,675
1737941,Android,Motorcycle/Bike,1400,#N/A
1737951,IoS,Car,20600,#N/A
1737971,Mobile Web,Auto Inspection,499,499
1737981,Desktop,Car,5300,5300
1737991,Desktop,Car,4000,4000
1738001,Android,Scooter,1125,#N/A
1738011,Android,Motorcycle/Bike,1625,#N/A
1738021,Android,Scooter,550,#N/A
1738031,Desktop,Scooter,838,838
1738041,Desktop,Car,13500,13500
1738061,Android,Car,7400,#N/A
1738071,Desktop,Motorcycle/Bike,800,800
1738091,Desktop,Car,4300,4300
1738101,Desktop,Car,9000,9000
1738111,App,Car,21000,#N/A
1738121,App,Car,18000,#N/A
1738131,Mobile Web,Motorcycle/Bike,1700,1700
1738151,App,Car,39000,#N/A
1738181,Android,Scooter,1550,#N/A
1738141,Desktop,Car,25000,#N/A
1738191,Desktop,Auto Inspection,512,#N/A
1738201,IoS,Scooter,950,#N/A
1738211,Android,Motorcycle/Bike,700,#N/A
1738241,Android,Car,3200,#N/A
1738261,Desktop,Motorcycle/Bike,1050,1050
1738271,Android,Motorcycle/Bike,825,#N/A
1738281,IoS,Car,4700,#N/A
1738291,Android,Car,4500,#N/A
1738301,Web,,3450,#N/A
1738321,Web,,3450,#N/A
1738341,Web,,4600,#N/A
1738371,App,Scooter,500,#N/A
1738391,Desktop,Car,8000,8000
1738401,Desktop,Car,4000,4000
1738431,Desktop,Car,4000,4000
1738441,IoS,Car,10500,#N/A
1738451,Desktop,Car,3700,3700
1738471,Desktop,Car,5000,5000
1738481,Desktop,Car,5000,5000
1738491,Desktop,Auto Inspection,282,#N/A
1738501,Desktop,Auto Inspection,282,#N/A
1738511,Desktop,Auto Inspection,282,#N/A
1738521,Desktop,Auto Inspection,282,#N/A
1738531,Desktop,Auto Inspection,282,#N/A
1738541,Desktop,Auto Inspection,282,#N/A
1738551,Desktop,Auto Inspection,282,#N/A
1738561,Desktop,Auto Inspection,282,#N/A
1738571,Desktop,Auto Inspection,282,#N/A
1738581,Desktop,Auto Inspection,282,#N/A
1738591,Desktop,Auto Inspection,282,#N/A
1738601,Desktop,Auto Inspection,282,#N/A
1738611,Desktop,Auto Inspection,282,#N/A
1738621,Desktop,Auto Inspection,282,#N/A
1738631,Desktop,Auto Inspection,282,#N/A
1738641,Desktop,Auto Inspection,512,#N/A
1738651,Desktop,Auto Inspection,512,#N/A
1738661,Desktop,Auto Inspection,512,#N/A
1738671,Desktop,Auto Inspection,512,#N/A
1738681,Desktop,Auto Inspection,512,#N/A
1738691,Desktop,Auto Inspection,512,#N/A
1738701,Desktop,Auto Inspection,512,#N/A
1738711,Desktop,Auto Inspection,512,#N/A
1738721,Desktop,Auto Inspection,512,#N/A
1738731,Desktop,Auto Inspection,512,#N/A
1738741,Desktop,Auto Inspection,512,#N/A
1738751,Desktop,Auto Inspection,512,#N/A
1738761,Desktop,Auto Inspection,512,#N/A
1738771,Desktop,Auto Inspection,512,#N/A
1738781,Desktop,Auto Inspection,512,#N/A
1738791,Desktop,Auto Inspection,512,#N/A
1738801,Desktop,Auto Inspection,512,#N/A
1738811,Desktop,Auto Inspection,512,#N/A
1738821,Desktop,Auto Inspection,512,#N/A
1738831,Desktop,Auto Inspection,282,#N/A
1738841,Desktop,Auto Inspection,282,#N/A
1738851,Desktop,Auto Inspection,282,#N/A
1738861,Desktop,Auto Inspection,282,#N/A
1738871,Desktop,Auto Inspection,282,#N/A
1738881,Desktop,Auto Inspection,282,#N/A
1738891,Desktop,Auto Inspection,282,#N/A
