,transactionId,city,users,sessions,pageviews,Match
1, ,Gurgaon,1,0,0,#N/A
2,1277347,Gurgaon,1,0,0,#N/A
3,1277348,Gurgaon,1,0,0,#N/A
4,1277349,Gurgaon,1,0,0,#N/A
5,1277350,Gurgaon,1,0,0,#N/A
6,1277354,(not set),1,0,0,#N/A
7,1277355,(not set),1,0,0,#N/A
8,1277356,(not set),1,0,0,#N/A
9,1277357,(not set),1,0,0,#N/A
10,1277360,Gurgaon,1,0,0,#N/A
11,1277362,Gurgaon,1,0,0,#N/A
12,1277367,Gurgaon,1,0,0,#N/A
13,1277368,Gurgaon,1,0,0,#N/A
14,1277369,Gurgaon,1,0,0,#N/A
15,1277381,Gurgaon,1,0,0,#N/A
16,1277386,Gurgaon,1,0,0,#N/A
17,1277387,Gurgaon,1,0,0,#N/A
18,1277389,Gurgaon,1,0,0,#N/A
19,1277392,Gurgaon,2,0,0,#N/A
20,1277400,Gurgaon,1,0,0,#N/A
21,1277401,Gurgaon,1,0,0,#N/A
22,1277402,Gurgaon,1,0,0,#N/A
23,1277404,Gurgaon,1,0,0,#N/A
24,1277407,Gurgaon,1,0,0,#N/A
25,1277436,Gurgaon,1,0,0,#N/A
26,1277440,Gurgaon,1,0,0,#N/A
27,1277752,Gurgaon,1,0,0,#N/A
28,1277760,Gurgaon,1,0,0,#N/A
29,1277761,Gurgaon,1,0,0,#N/A
30,1277763,Gurgaon,1,0,0,#N/A
31,1277765,Gurgaon,1,0,0,#N/A
32,1280410,Gurgaon,1,0,0,#N/A
33,1280422,Gurgaon,1,0,0,#N/A
34,1280425,Gurgaon,1,0,0,#N/A
35,1280431,Gurgaon,1,0,0,#N/A
36,1280473,Gurgaon,1,0,0,#N/A
37,1280482,Gurgaon,1,0,0,#N/A
38,1280491,Gurgaon,1,0,0,#N/A
39,1280494,Gurgaon,1,0,0,#N/A
40,1280497,Gurgaon,1,0,0,#N/A
41,1280512,Gurgaon,1,0,0,#N/A
42,1280515,Gurgaon,1,0,0,#N/A
43,1280521,Gurgaon,1,0,0,#N/A
44,1280557,Gurgaon,1,0,0,#N/A
45,1280563,Gurgaon,1,0,0,#N/A
46,1280566,Gurgaon,1,0,0,#N/A
47,1280578,Gurgaon,1,0,0,#N/A
48,1280581,Gurgaon,1,0,0,#N/A
49,1280584,Gurgaon,1,0,0,#N/A
50,1280590,Gurgaon,1,0,0,#N/A
51,1280608,Gurgaon,1,0,0,#N/A
52,1280614,Gurgaon,1,0,0,#N/A
53,1280653,Gurgaon,1,0,0,#N/A
54,1518781,Pune,1,1,0,#N/A
55,1551981,(not set),1,0,0,#N/A
56,1609081,Gurgaon,1,0,0,#N/A
57,1622111,Bengaluru,1,0,0,#N/A
58,1667671,Lucknow,1,0,0,#N/A
59,1669101,Kolkata,1,1,0,#N/A
60,1717781,New Delhi,1,2,0,#N/A
61,1727727,Gurgaon,1,0,0,#N/A
62,1727729,Gurgaon,1,0,0,#N/A
63,1727730,Gurgaon,1,0,0,#N/A
64,1727732,Gurgaon,1,0,0,#N/A
65,1727765,Gurgaon,1,0,0,#N/A
66,1727773,Gurgaon,1,0,0,#N/A
67,1727779,Gurgaon,1,0,0,#N/A
68,1727781,Gurgaon,1,0,0,#N/A
69,1727784,Gurgaon,1,0,0,#N/A
70,1727786,Gurgaon,1,0,0,#N/A
71,1727788,Gurgaon,1,0,0,#N/A
72,1727798,Gurgaon,1,0,0,#N/A
73,1727812,Gurgaon,1,0,0,#N/A
74,1727815,Gurgaon,1,0,0,#N/A
75,1727817,Gurgaon,1,0,0,#N/A
76,1727821,Gurgaon,1,0,0,#N/A
77,1727823,Gurgaon,1,0,0,#N/A
78,1727832,Gurgaon,1,0,0,#N/A
79,1727833,Gurgaon,1,0,0,#N/A
80,1727836,Gurgaon,1,0,0,#N/A
81,1727837,Gurgaon,1,0,0,#N/A
82,1727838,Gurgaon,1,0,0,#N/A
83,1727839,Gurgaon,1,0,0,#N/A
84,1727842,Gurgaon,1,0,0,#N/A
85,1727848,Gurgaon,1,0,0,#N/A
86,1727852,Gurgaon,1,0,0,#N/A
87,1727855,Gurgaon,1,0,0,#N/A
88,1727857,Gurgaon,1,0,0,#N/A
89,1727862,Gurgaon,1,0,0,#N/A
90,1727869,Gurgaon,1,0,0,#N/A
91,1727872,Gurgaon,1,0,0,#N/A
92,1727875,Gurgaon,1,0,0,#N/A
93,1727883,Gurgaon,1,0,0,#N/A
94,1727887,Gurgaon,1,0,0,#N/A
95,1727888,Gurgaon,1,0,0,#N/A
96,1727896,Gurgaon,1,0,0,#N/A
97,1727899,Gurgaon,1,0,0,#N/A
98,1727912,Gurgaon,1,0,0,#N/A
99,1727915,Gurgaon,1,0,0,#N/A
100,1727918,Gurgaon,1,0,0,#N/A
101,1727926,Gurgaon,1,0,0,#N/A
102,1727929,Gurgaon,1,0,0,#N/A
103,1727931,Gurgaon,1,0,0,#N/A
104,1727933,Gurgaon,1,0,0,#N/A
105,1727940,Gurgaon,1,0,0,#N/A
106,1727944,Gurgaon,1,0,0,#N/A
107,1727949,Gurgaon,1,0,0,#N/A
108,1727952,Gurgaon,1,0,0,#N/A
109,1727963,Gurgaon,1,0,0,#N/A
110,1727968,Gurgaon,1,0,0,#N/A
111,1727969,Gurgaon,1,0,0,#N/A
112,1727971,Gurgaon,1,0,0,#N/A
113,1727977,Gurgaon,1,0,0,#N/A
114,1727980,Gurgaon,1,0,0,#N/A
115,1727982,Gurgaon,1,0,0,#N/A
116,1728002,Gurgaon,1,0,0,#N/A
117,1728003,Gurgaon,1,0,0,#N/A
118,1728004,Gurgaon,1,0,0,#N/A
119,1728006,Gurgaon,1,0,0,#N/A
120,1728007,Gurgaon,1,0,0,#N/A
121,1728008,Gurgaon,1,0,0,#N/A
122,1728009,Gurgaon,1,0,0,#N/A
123,1728012,Gurgaon,1,0,0,#N/A
124,1728015,Gurgaon,1,0,0,#N/A
125,1728017,Gurgaon,1,0,0,#N/A
126,1728022,Gurgaon,1,0,0,#N/A
127,1728027,Gurgaon,1,0,0,#N/A
128,1728029,Gurgaon,1,0,0,#N/A
129,1728030,Gurgaon,1,0,0,#N/A
130,1728035,Gurgaon,1,0,0,#N/A
131,1728037,Gurgaon,1,0,0,#N/A
132,1728038,Gurgaon,1,0,0,#N/A
133,1728052,Gurgaon,1,0,0,#N/A
134,1728054,Gurgaon,1,0,0,#N/A
135,1728060,Gurgaon,1,0,0,#N/A
136,1728096,Gurgaon,1,0,0,#N/A
137,1728098,Gurgaon,1,0,0,#N/A
138,1728101,Gurgaon,1,0,0,#N/A
139,1728102,Gurgaon,2,0,0,#N/A
140,1728112,Gurgaon,1,0,0,#N/A
141,1728113,Gurgaon,1,0,0,#N/A
142,1728114,Gurgaon,1,0,0,#N/A
143,1728116,Gurgaon,1,0,0,#N/A
144,1728117,Gurgaon,1,0,0,#N/A
145,1728118,Gurgaon,1,0,0,#N/A
146,1728122,Gurgaon,1,0,0,#N/A
147,1728123,Gurgaon,1,0,0,#N/A
148,1728125,Gurgaon,1,0,0,#N/A
149,1728128,Gurgaon,1,0,0,#N/A
150,1728129,Gurgaon,1,0,0,#N/A
151,1728134,Gurgaon,1,0,0,#N/A
152,1728135,Gurgaon,1,0,0,#N/A
153,1728136,Gurgaon,1,0,0,#N/A
154,1728137,Gurgaon,1,0,0,#N/A
155,1728138,Gurgaon,1,0,0,#N/A
156,1728139,Gurgaon,1,0,0,#N/A
157,1728140,Gurgaon,1,0,0,#N/A
158,1728141,Gurgaon,1,0,0,#N/A
159,1728142,Gurgaon,1,0,0,#N/A
160,1728143,Gurgaon,1,0,0,#N/A
161,1728144,Gurgaon,1,0,0,#N/A
162,1728145,Gurgaon,1,0,0,#N/A
163,1728146,Gurgaon,1,0,0,#N/A
