,date,transactionId,hour of the day,dayOfWeekName,users,sessions,pageviews
1,01-03-2017,1277386,14,Wednesday,1,0,0
2,01-03-2017,1277387,15,Wednesday,1,0,0
3,01-03-2017,1277389,18,Wednesday,1,0,0
4,01-03-2017,1277392,19,Wednesday,1,0,0
5,01-03-2017,1280410,11,Wednesday,1,0,0
6,01-03-2017,1280422,12,Wednesday,1,0,0
7,01-03-2017,1280425,12,Wednesday,1,0,0
8,01-03-2017,1280431,13,Wednesday,1,0,0
9,01-03-2017,1280473,15,Wednesday,1,0,0
10,01-03-2017,1280482,16,Wednesday,1,0,0
11,01-03-2017,1280491,16,Wednesday,1,0,0
12,01-03-2017,1280494,16,Wednesday,1,0,0
13,01-03-2017,1280497,16,Wednesday,1,0,0
14,01-03-2017,1280512,17,Wednesday,1,0,0
15,01-03-2017,1280515,17,Wednesday,1,0,0
16,01-03-2017,1280521,17,Wednesday,1,0,0
17,01-03-2017,1280557,18,Wednesday,1,0,0
18,01-03-2017,1280563,18,Wednesday,1,0,0
19,01-03-2017,1280566,18,Wednesday,1,0,0
20,01-03-2017,1280578,18,Wednesday,1,0,0
21,01-03-2017,1280581,18,Wednesday,1,0,0
22,01-03-2017,1280584,19,Wednesday,1,0,0
23,01-03-2017,1280590,19,Wednesday,1,0,0
24,01-03-2017,1669101,17,Wednesday,1,0,0
25,01-03-2017,1669101,20,Wednesday,1,1,0
26,01-03-2017,1717781,0,Wednesday,1,1,0
27,01-03-2017,1735911,0,Wednesday,1,0,0
28,01-03-2017,1735931,0,Wednesday,1,0,0
29,01-03-2017,1736021,11,Wednesday,1,0,0
30,01-03-2017,1736111,13,Wednesday,1,0,0
31,01-03-2017,1736121,13,Wednesday,1,0,0
32,01-03-2017,1736151,14,Wednesday,1,0,0
33,01-03-2017,1736221,15,Wednesday,1,0,0
34,01-03-2017,1736271,15,Wednesday,1,0,0
35,01-03-2017,1736301,15,Wednesday,1,0,0
36,01-03-2017,1736311,15,Wednesday,1,0,0
37,01-03-2017,1736321,15,Wednesday,1,0,0
38,01-03-2017,1736331,16,Wednesday,1,0,0
39,01-03-2017,1736351,16,Wednesday,1,0,0
40,01-03-2017,1736361,16,Wednesday,1,0,0
41,01-03-2017,1736381,16,Wednesday,1,0,0
42,01-03-2017,1736401,16,Wednesday,1,0,0
43,01-03-2017,1736411,16,Wednesday,1,0,0
44,01-03-2017,1736421,16,Wednesday,1,0,0
45,01-03-2017,1736441,16,Wednesday,1,0,0
46,01-03-2017,1736471,17,Wednesday,1,0,0
47,01-03-2017,1736491,17,Wednesday,1,0,0
48,01-03-2017,1736501,17,Wednesday,1,0,0
49,01-03-2017,1736511,17,Wednesday,1,0,0
50,01-03-2017,1736541,17,Wednesday,1,0,0
51,01-03-2017,1736551,18,Wednesday,1,0,0
52,01-03-2017,1736581,18,Wednesday,1,0,0
53,01-03-2017,1736691,19,Wednesday,1,0,0
54,01-03-2017,1736751,20,Wednesday,1,0,0
55,02-03-2017,1277400,16,Thursday,1,0,0
56,02-03-2017,1277401,16,Thursday,1,0,0
57,02-03-2017,1737101,11,Thursday,1,0,0
58,02-03-2017,1737251,13,Thursday,1,0,0
59,02-03-2017,1737261,13,Thursday,1,0,0
60,02-03-2017,1737291,13,Thursday,1,0,0
61,02-03-2017,1737481,14,Thursday,1,0,0
62,02-03-2017,1737601,15,Thursday,1,0,0
63,02-03-2017,1737721,15,Thursday,1,0,0
64,02-03-2017,1737741,15,Thursday,1,0,0
65,02-03-2017,1737751,16,Thursday,1,0,0
66,02-03-2017,1737771,16,Thursday,1,0,0
67,02-03-2017,1737791,16,Thursday,1,0,0
68,02-03-2017,1737851,16,Thursday,1,0,0
69,02-03-2017,1737861,17,Thursday,1,0,0
70,02-03-2017,1737871,17,Thursday,1,0,0
71,02-03-2017,1737881,17,Thursday,1,0,0
72,02-03-2017,1737901,17,Thursday,1,0,0
73,02-03-2017,1737921,17,Thursday,1,0,0
74,02-03-2017,1737971,18,Thursday,1,0,0
75,02-03-2017,1737981,18,Thursday,1,0,0
76,02-03-2017,1737991,18,Thursday,1,0,0
77,02-03-2017,1738031,18,Thursday,1,0,0
78,02-03-2017,1738041,18,Thursday,1,0,0
79,02-03-2017,1738071,18,Thursday,1,0,0
80,02-03-2017,1738091,18,Thursday,1,0,0
81,02-03-2017,1738101,18,Thursday,1,0,0
82,02-03-2017,1738131,18,Thursday,1,0,0
83,02-03-2017,1738261,19,Thursday,1,0,0
84,03-03-2017,1277402,17,Friday,1,0,0
85,03-03-2017,1277404,17,Friday,1,0,0
86,03-03-2017,1277407,19,Friday,1,0,0
87,03-03-2017,1277752,13,Friday,1,0,0
88,03-03-2017,1277760,14,Friday,1,0,0
89,03-03-2017,1277761,14,Friday,1,0,0
90,03-03-2017,1277763,14,Friday,1,0,0
91,03-03-2017,1277765,16,Friday,1,0,0
92,03-03-2017,1280608,12,Friday,1,0,0
93,03-03-2017,1280614,12,Friday,1,0,0
94,03-03-2017,1280653,15,Friday,1,0,0
95,03-03-2017,1609081,18,Friday,1,0,0
96,03-03-2017,1622111,11,Friday,1,0,0
97,03-03-2017,1727727,16,Friday,1,0,0
98,03-03-2017,1727729,16,Friday,1,0,0
99,03-03-2017,1727730,16,Friday,1,0,0
100,03-03-2017,1727732,17,Friday,1,0,0
101,03-03-2017,1738031,10,Friday,1,0,0
102,03-03-2017,1738391,11,Friday,1,0,0
103,03-03-2017,1738401,11,Friday,1,0,0
104,03-03-2017,1738431,11,Friday,1,0,0
105,03-03-2017,1738451,11,Friday,1,0,0
106,03-03-2017,1738471,11,Friday,1,0,0
107,03-03-2017,1738481,11,Friday,1,0,0
108,03-03-2017,1742491,12,Friday,1,0,0
109,03-03-2017,1742601,13,Friday,1,0,0
110,03-03-2017,1742611,13,Friday,1,0,0
111,03-03-2017,1742721,14,Friday,1,0,0
112,03-03-2017,1742771,14,Friday,1,0,0
113,03-03-2017,1742801,15,Friday,1,0,0
114,03-03-2017,1742821,15,Friday,1,0,0
115,03-03-2017,1742851,15,Friday,1,0,0
116,03-03-2017,1742921,15,Friday,1,0,0
117,03-03-2017,1743021,16,Friday,1,0,0
118,03-03-2017,1743091,16,Friday,1,0,0
119,03-03-2017,1743111,16,Friday,1,0,0
120,03-03-2017,1743121,16,Friday,1,0,0
121,03-03-2017,1743131,16,Friday,1,0,0
122,03-03-2017,1743191,16,Friday,1,0,0
123,03-03-2017,1743201,16,Friday,1,0,0
124,03-03-2017,1743211,16,Friday,1,0,0
125,03-03-2017,1743221,16,Friday,1,0,0
126,03-03-2017,1743231,17,Friday,1,0,0
127,03-03-2017,1743241,17,Friday,1,0,0
128,03-03-2017,1743251,17,Friday,1,0,0
129,03-03-2017,1743291,17,Friday,1,0,0
130,03-03-2017,1743341,17,Friday,1,0,0
131,03-03-2017,1743351,18,Friday,1,0,0
132,03-03-2017,1743391,18,Friday,1,0,0
133,03-03-2017,1743411,18,Friday,1,0,0
134,03-03-2017,1743421,18,Friday,1,0,0
135,03-03-2017,1743441,18,Friday,1,0,0
136,03-03-2017,1743451,18,Friday,1,0,0
137,03-03-2017,1743461,18,Friday,1,0,0
138,03-03-2017,1743501,18,Friday,1,0,0
139,03-03-2017,1743541,18,Friday,1,0,0
140,03-03-2017,1743601,18,Friday,1,0,0
141,03-03-2017,1743611,19,Friday,1,0,0
142,03-03-2017,1743651,19,Friday,1,0,0
143,03-03-2017,1743681,19,Friday,1,0,0
144,03-03-2017,1743691,19,Friday,1,0,0
145,03-03-2017,1743751,19,Friday,1,0,0
146,03-03-2017,1743821,19,Friday,1,0,0
147,03-03-2017,1743861,19,Friday,1,0,0
148,03-03-2017,1744001,23,Friday,1,0,0
149,04-03-2017,1277346,16,Saturday,1,0,0
150,04-03-2017,1277347,18,Saturday,1,0,0
151,04-03-2017,1277436,16,Saturday,1,0,0
152,04-03-2017,1277440,21,Saturday,1,0,0
153,04-03-2017,1518781,14,Saturday,1,1,0
154,04-03-2017,1717781,0,Saturday,1,1,0
155,04-03-2017,1727765,11,Saturday,1,0,0
156,04-03-2017,1727773,12,Saturday,1,0,0
157,04-03-2017,1727779,12,Saturday,1,0,0
158,04-03-2017,1727779,13,Saturday,1,0,0
159,04-03-2017,1727781,13,Saturday,1,0,0
160,04-03-2017,1727784,13,Saturday,1,0,0
161,04-03-2017,1727786,14,Saturday,1,0,0
162,04-03-2017,1727788,14,Saturday,1,0,0
163,04-03-2017,1727798,15,Saturday,1,0,0
164,04-03-2017,1727812,15,Saturday,1,0,0
165,04-03-2017,1727815,15,Saturday,1,0,0
166,04-03-2017,1727817,15,Saturday,1,0,0
167,04-03-2017,1727821,15,Saturday,1,0,0
168,04-03-2017,1727823,16,Saturday,1,0,0
169,04-03-2017,1727832,17,Saturday,1,0,0
170,04-03-2017,1727833,17,Saturday,1,0,0
171,04-03-2017,1727836,17,Saturday,1,0,0
172,04-03-2017,1727837,17,Saturday,1,0,0
173,04-03-2017,1727838,17,Saturday,1,0,0
174,04-03-2017,1727839,18,Saturday,1,0,0
175,04-03-2017,1727842,18,Saturday,1,0,0
176,04-03-2017,1727848,18,Saturday,1,0,0
177,04-03-2017,1727852,19,Saturday,1,0,0
178,04-03-2017,1727855,19,Saturday,1,0,0
179,04-03-2017,1727857,19,Saturday,1,0,0
180,04-03-2017,1727862,19,Saturday,1,0,0
181,04-03-2017,1727869,20,Saturday,1,0,0
182,04-03-2017,1727872,21,Saturday,1,0,0
183,04-03-2017,1727875,21,Saturday,1,0,0
184,04-03-2017,1727883,21,Saturday,1,0,0
185,04-03-2017,1727887,21,Saturday,1,0,0
186,04-03-2017,1727888,21,Saturday,1,0,0
187,04-03-2017,1727896,22,Saturday,1,0,0
188,04-03-2017,1727899,22,Saturday,1,0,0
189,04-03-2017,1727912,23,Saturday,1,0,0
190,04-03-2017,1727915,23,Saturday,1,0,0
191,04-03-2017,1727918,23,Saturday,1,0,0
192,04-03-2017,1727926,23,Saturday,1,0,0
193,04-03-2017,1744011,0,Saturday,1,0,0
194,04-03-2017,1744021,0,Saturday,1,0,0
195,04-03-2017,1744071,10,Saturday,1,0,0
196,04-03-2017,1744171,11,Saturday,1,0,0
197,04-03-2017,1744191,11,Saturday,1,0,0
198,04-03-2017,1744201,11,Saturday,1,0,0
199,04-03-2017,1744481,13,Saturday,1,0,0
200,04-03-2017,1744491,13,Saturday,1,0,0
201,04-03-2017,1744551,13,Saturday,1,0,0
202,04-03-2017,1744671,14,Saturday,1,0,0
203,04-03-2017,1744701,14,Saturday,1,0,0
204,04-03-2017,1744711,14,Saturday,1,0,0
205,04-03-2017,1744721,14,Saturday,1,0,0
206,04-03-2017,1744741,14,Saturday,1,0,0
207,04-03-2017,1744751,15,Saturday,1,0,0
208,04-03-2017,1744781,15,Saturday,1,0,0
209,04-03-2017,1744881,16,Saturday,1,0,0
210,04-03-2017,1744941,16,Saturday,1,0,0
211,04-03-2017,1744961,16,Saturday,1,0,0
212,04-03-2017,1745051,16,Saturday,1,0,0
213,04-03-2017,1745111,17,Saturday,1,0,0
214,04-03-2017,1745181,17,Saturday,1,0,0
215,04-03-2017,1745261,18,Saturday,1,0,0
216,04-03-2017,1745291,18,Saturday,1,0,0
217,04-03-2017,1745301,18,Saturday,1,0,0
218,04-03-2017,1745331,18,Saturday,1,0,0
219,04-03-2017,1745371,18,Saturday,1,0,0
220,04-03-2017,1745421,19,Saturday,1,0,0
221,04-03-2017,1745431,19,Saturday,1,0,0
222,04-03-2017,1745441,19,Saturday,1,0,0
223,04-03-2017,1745451,19,Saturday,1,0,0
224,04-03-2017,1745461,19,Saturday,1,0,0
225,04-03-2017,1745541,19,Saturday,1,0,0
226,04-03-2017,1745561,20,Saturday,1,0,0
227,04-03-2017,1745571,20,Saturday,1,0,0
228,04-03-2017,1745581,20,Saturday,1,0,0
229,04-03-2017,1745641,22,Saturday,1,0,0
230,04-03-2017,1745661,23,Saturday,1,0,0
231,05-03-2017,1551981,5,Sunday,1,0,0
232,05-03-2017,1727929,0,Sunday,1,0,0
233,05-03-2017,1727931,0,Sunday,1,0,0
234,05-03-2017,1727933,0,Sunday,1,0,0
235,05-03-2017,1745771,12,Sunday,1,0,0
236,05-03-2017,1745831,12,Sunday,1,0,0
237,05-03-2017,1745861,13,Sunday,1,0,0
238,05-03-2017,1745911,13,Sunday,1,0,0
239,05-03-2017,1746001,14,Sunday,1,0,0
240,05-03-2017,1746011,14,Sunday,1,0,0
241,05-03-2017,1746021,14,Sunday,1,0,0
242,05-03-2017,1746031,14,Sunday,1,0,0
243,05-03-2017,1746081,14,Sunday,1,0,0
244,05-03-2017,1746091,14,Sunday,1,0,0
245,05-03-2017,1746101,14,Sunday,1,0,0
246,05-03-2017,1746111,15,Sunday,1,0,0
247,05-03-2017,1746301,17,Sunday,1,0,0
248,05-03-2017,1746331,17,Sunday,1,0,0
249,05-03-2017,1746371,18,Sunday,1,0,0
250,05-03-2017,1746381,18,Sunday,1,0,0
251,05-03-2017,1746431,19,Sunday,1,0,0
252,05-03-2017,1746441,19,Sunday,1,0,0
253,05-03-2017,1746461,19,Sunday,1,0,0
254,05-03-2017,1746561,20,Sunday,1,0,0
255,05-03-2017,1746711,23,Sunday,1,0,0
256,05-03-2017,1746731,23,Sunday,1,0,0
257,06-03-2017,1622111,19,Monday,1,0,0
258,06-03-2017,1727940,12,Monday,1,0,0
259,06-03-2017,1727944,12,Monday,1,0,0
260,06-03-2017,1727949,12,Monday,1,0,0
261,06-03-2017,1727949,15,Monday,1,0,0
262,06-03-2017,1727952,13,Monday,1,0,0
263,06-03-2017,1727963,13,Monday,1,0,0
264,06-03-2017,1727968,13,Monday,1,0,0
265,06-03-2017,1727969,15,Monday,1,0,0
266,06-03-2017,1727971,15,Monday,1,0,0
267,06-03-2017,1727977,15,Monday,1,0,0
268,06-03-2017,1727980,15,Monday,1,0,0
269,06-03-2017,1727982,16,Monday,1,0,0
270,06-03-2017,1728002,17,Monday,1,0,0
271,06-03-2017,1728003,17,Monday,1,0,0
272,06-03-2017,1728004,17,Monday,1,0,0
273,06-03-2017,1728006,17,Monday,1,0,0
274,06-03-2017,1728007,17,Monday,1,0,0
275,06-03-2017,1728008,17,Monday,1,0,0
276,06-03-2017,1728009,17,Monday,1,0,0
277,06-03-2017,1728012,18,Monday,1,0,0
278,06-03-2017,1728015,19,Monday,1,0,0
279,06-03-2017,1728017,19,Monday,1,0,0
280,06-03-2017,1728022,19,Monday,1,0,0
281,06-03-2017,1728027,20,Monday,1,0,0
282,06-03-2017,1728029,20,Monday,1,0,0
283,06-03-2017,1728030,20,Monday,1,0,0
284,06-03-2017,1746741,1,Monday,1,0,0
285,06-03-2017,1746761,9,Monday,1,0,0
286,06-03-2017,1746801,10,Monday,1,0,0
287,06-03-2017,1746871,11,Monday,1,0,0
288,06-03-2017,1746901,12,Monday,1,0,0
289,06-03-2017,1747031,12,Monday,1,0,0
290,06-03-2017,1747121,13,Monday,1,0,0
291,06-03-2017,1747151,13,Monday,1,0,0
292,06-03-2017,1747201,14,Monday,1,0,0
293,06-03-2017,1747341,16,Monday,1,0,0
294,06-03-2017,1747431,16,Monday,1,0,0
295,06-03-2017,1747531,18,Monday,1,0,0
296,06-03-2017,1747541,18,Monday,1,0,0
297,06-03-2017,1747571,18,Monday,1,0,0
298,06-03-2017,1747641,18,Monday,1,0,0
299,06-03-2017,1747661,19,Monday,1,0,0
300,06-03-2017,1747681,19,Monday,1,0,0
301,06-03-2017,1747951,21,Monday,1,0,0
302,06-03-2017,1748011,22,Monday,1,0,0
303,06-03-2017,1748071,23,Monday,1,0,0
304,06-03-2017,1748101,23,Monday,1,0,0
305,07-03-2017,1727982,11,Tuesday,1,0,0
306,07-03-2017,1728035,16,Tuesday,1,0,0
307,07-03-2017,1728037,17,Tuesday,1,0,0
308,07-03-2017,1728038,18,Tuesday,1,0,0
309,07-03-2017,1748241,11,Tuesday,1,0,0
310,07-03-2017,1748251,11,Tuesday,1,0,0
311,07-03-2017,1748261,11,Tuesday,1,0,0
312,07-03-2017,1748271,11,Tuesday,1,0,0
313,07-03-2017,1748281,11,Tuesday,1,0,0
314,07-03-2017,1748291,11,Tuesday,1,0,0
315,07-03-2017,1748311,11,Tuesday,1,0,0
316,07-03-2017,1748331,11,Tuesday,1,0,0
317,07-03-2017,1748361,11,Tuesday,1,0,0
318,07-03-2017,1748391,12,Tuesday,1,0,0
319,07-03-2017,1748401,12,Tuesday,1,0,0
320,07-03-2017,1748411,12,Tuesday,1,0,0
321,07-03-2017,1748421,12,Tuesday,1,0,0
322,07-03-2017,1748431,12,Tuesday,1,0,0
323,07-03-2017,1748461,12,Tuesday,1,0,0
324,07-03-2017,1748471,12,Tuesday,1,0,0
325,07-03-2017,1748511,12,Tuesday,1,0,0
326,07-03-2017,1748651,13,Tuesday,1,0,0
327,07-03-2017,1748661,13,Tuesday,1,0,0
328,07-03-2017,1748871,14,Tuesday,1,0,0
329,07-03-2017,1748891,14,Tuesday,1,0,0
330,07-03-2017,1748901,15,Tuesday,1,0,0
331,07-03-2017,1749011,15,Tuesday,1,0,0
332,07-03-2017,1749051,16,Tuesday,1,0,0
333,07-03-2017,1749071,16,Tuesday,1,0,0
334,07-03-2017,1749091,16,Tuesday,1,0,0
335,07-03-2017,1749101,16,Tuesday,1,0,0
336,07-03-2017,1749131,16,Tuesday,1,0,0
337,07-03-2017,1749141,16,Tuesday,1,0,0
338,07-03-2017,1749161,16,Tuesday,1,0,0
339,07-03-2017,1749201,16,Tuesday,1,0,0
340,07-03-2017,1749231,16,Tuesday,1,0,0
341,07-03-2017,1749251,16,Tuesday,1,0,0
342,07-03-2017,1749301,16,Tuesday,1,0,0
343,07-03-2017,1749311,16,Tuesday,1,0,0
344,07-03-2017,1749381,17,Tuesday,1,0,0
345,07-03-2017,1749421,17,Tuesday,1,0,0
346,07-03-2017,1749461,17,Tuesday,1,0,0
347,07-03-2017,1749511,17,Tuesday,1,0,0
348,07-03-2017,1749521,17,Tuesday,1,0,0
349,07-03-2017,1749571,17,Tuesday,1,0,0
350,07-03-2017,1749611,18,Tuesday,1,0,0
351,07-03-2017,1749651,18,Tuesday,1,0,0
352,07-03-2017,1749661,18,Tuesday,1,0,0
353,07-03-2017,1749711,18,Tuesday,1,0,0
354,07-03-2017,1749741,18,Tuesday,1,0,0
355,07-03-2017,1749751,18,Tuesday,1,0,0
356,07-03-2017,1749761,18,Tuesday,1,0,0
357,07-03-2017,1749821,18,Tuesday,1,0,0
358,07-03-2017,1749851,18,Tuesday,1,0,0
359,07-03-2017,1749861,19,Tuesday,1,0,0
360,07-03-2017,1749871,19,Tuesday,1,0,0
361,07-03-2017,1749881,19,Tuesday,1,0,0
362,07-03-2017,1749901,19,Tuesday,1,0,0
363,07-03-2017,1749941,19,Tuesday,1,0,0
364,07-03-2017,1750061,20,Tuesday,1,0,0
365,07-03-2017,1750131,20,Tuesday,1,0,0
366,07-03-2017,1750141,20,Tuesday,1,0,0
367,07-03-2017,1750161,20,Tuesday,1,0,0
368,07-03-2017,1750171,20,Tuesday,1,0,0
369,07-03-2017,1750181,20,Tuesday,1,0,0
370,07-03-2017,1750191,21,Tuesday,1,0,0
371,07-03-2017,1750251,22,Tuesday,1,0,0
372,08-03-2017,1728052,11,Wednesday,1,0,0
373,08-03-2017,1728054,12,Wednesday,1,0,0
374,08-03-2017,1750411,10,Wednesday,1,0,0
375,08-03-2017,1750431,11,Wednesday,1,0,0
376,08-03-2017,1750471,11,Wednesday,1,0,0
377,08-03-2017,1750491,11,Wednesday,1,0,0
378,08-03-2017,1750581,12,Wednesday,1,0,0
379,08-03-2017,1750591,12,Wednesday,1,0,0
380,08-03-2017,1750601,12,Wednesday,1,0,0
381,08-03-2017,1751051,15,Wednesday,1,0,0
382,08-03-2017,1751081,15,Wednesday,1,0,0
383,08-03-2017,1751161,15,Wednesday,1,0,0
384,08-03-2017,1751221,15,Wednesday,1,0,0
385,08-03-2017,1751241,16,Wednesday,1,0,0
386,08-03-2017,1751291,16,Wednesday,1,0,0
387,08-03-2017,1751341,16,Wednesday,1,0,0
388,08-03-2017,1751461,16,Wednesday,1,0,0
389,08-03-2017,1751501,16,Wednesday,1,0,0
390,08-03-2017,1751591,16,Wednesday,1,0,0
391,08-03-2017,1751611,16,Wednesday,1,0,0
392,08-03-2017,1751711,17,Wednesday,1,0,0
393,08-03-2017,1751731,17,Wednesday,1,0,0
394,08-03-2017,1751741,17,Wednesday,1,0,0
395,08-03-2017,1751751,17,Wednesday,1,0,0
396,08-03-2017,1751761,17,Wednesday,1,0,0
397,08-03-2017,1751771,17,Wednesday,1,0,0
398,08-03-2017,1751791,17,Wednesday,1,0,0
399,08-03-2017,1751801,17,Wednesday,1,0,0
400,08-03-2017,1751811,17,Wednesday,1,0,0
401,08-03-2017,1751831,17,Wednesday,1,0,0
402,08-03-2017,1751851,17,Wednesday,1,0,0
403,08-03-2017,1751881,18,Wednesday,1,0,0
404,08-03-2017,1751891,17,Wednesday,1,0,0
405,08-03-2017,1751921,18,Wednesday,1,0,0
406,08-03-2017,1751951,18,Wednesday,1,0,0
407,08-03-2017,1751961,18,Wednesday,1,0,0
408,08-03-2017,1751981,18,Wednesday,1,0,0
409,08-03-2017,1752071,18,Wednesday,1,0,0
410,08-03-2017,1752081,18,Wednesday,1,0,0
411,08-03-2017,1752121,18,Wednesday,1,0,0
412,08-03-2017,1752141,18,Wednesday,1,0,0
413,08-03-2017,1752201,18,Wednesday,1,0,0
414,08-03-2017,1752211,18,Wednesday,1,0,0
415,08-03-2017,1752221,18,Wednesday,1,0,0
416,08-03-2017,1752261,19,Wednesday,1,0,0
417,08-03-2017,1752331,19,Wednesday,1,0,0
418,08-03-2017,1752361,20,Wednesday,1,0,0
419,08-03-2017,1752411,21,Wednesday,1,0,0
420,08-03-2017,1752421,21,Wednesday,1,0,0
421,08-03-2017,1752501,22,Wednesday,1,0,0
422,08-03-2017,1752531,22,Wednesday,1,0,0
423,08-03-2017,1752681,23,Wednesday,1,0,0
424,09-03-2017,1622111,14,Thursday,1,0,0
425,09-03-2017,1727968,11,Thursday,1,0,0
426,09-03-2017,1728060,11,Thursday,1,0,0
427,09-03-2017,1752771,1,Thursday,1,0,0
428,09-03-2017,1752831,8,Thursday,1,0,0
429,09-03-2017,1752851,8,Thursday,1,0,0
430,09-03-2017,1752861,9,Thursday,1,0,0
431,09-03-2017,1752901,10,Thursday,1,0,0
432,09-03-2017,1752911,11,Thursday,1,0,0
433,09-03-2017,1752951,11,Thursday,1,0,0
434,09-03-2017,1752971,11,Thursday,1,0,0
435,09-03-2017,1753031,12,Thursday,1,0,0
436,09-03-2017,1753051,12,Thursday,1,0,0
437,09-03-2017,1753081,12,Thursday,1,0,0
438,09-03-2017,1753091,12,Thursday,1,0,0
439,09-03-2017,1753131,12,Thursday,1,0,0
440,09-03-2017,1753151,12,Thursday,1,0,0
441,09-03-2017,1753161,12,Thursday,1,0,0
442,09-03-2017,1753171,12,Thursday,1,0,0
443,09-03-2017,1753191,12,Thursday,1,0,0
444,09-03-2017,1753201,12,Thursday,1,0,0
445,09-03-2017,1753231,12,Thursday,1,0,0
446,09-03-2017,1753241,12,Thursday,1,0,0
447,09-03-2017,1753251,12,Thursday,1,0,0
448,09-03-2017,1753281,12,Thursday,1,0,0
449,09-03-2017,1753311,13,Thursday,1,0,0
450,09-03-2017,1753341,13,Thursday,1,0,0
451,09-03-2017,1753391,13,Thursday,1,0,0
452,09-03-2017,1753451,13,Thursday,1,0,0
453,09-03-2017,1753501,14,Thursday,1,0,0
454,09-03-2017,1753511,14,Thursday,1,0,0
455,09-03-2017,1753531,14,Thursday,1,0,0
456,09-03-2017,1753541,14,Thursday,1,0,0
457,09-03-2017,1753561,14,Thursday,1,0,0
458,09-03-2017,1753571,14,Thursday,1,0,0
459,09-03-2017,1753581,14,Thursday,1,0,0
460,09-03-2017,1753591,14,Thursday,1,0,0
461,09-03-2017,1753611,14,Thursday,1,0,0
462,09-03-2017,1753621,14,Thursday,1,0,0
463,09-03-2017,1753641,15,Thursday,1,0,0
464,09-03-2017,1753671,15,Thursday,1,0,0
