"","date","transactionId","checkoutOptions","buyToDetailRate"
"1",2017-03-01,"1277386","(not set)",0
"2",2017-03-01,"1277387","(not set)",0
"3",2017-03-01,"1277389","(not set)",0
"4",2017-03-01,"1277392","(not set)",0
"5",2017-03-01,"1280410","(not set)",0
"6",2017-03-01,"1280422","(not set)",0
"7",2017-03-01,"1280425","(not set)",0
"8",2017-03-01,"1280431","(not set)",0
"9",2017-03-01,"1280473","(not set)",0
"10",2017-03-01,"1280482","(not set)",0
"11",2017-03-01,"1280491","(not set)",0
"12",2017-03-01,"1280494","(not set)",0
"13",2017-03-01,"1280497","(not set)",0
"14",2017-03-01,"1280512","(not set)",0
"15",2017-03-01,"1280515","(not set)",0
"16",2017-03-01,"1280521","(not set)",0
"17",2017-03-01,"1280557","(not set)",0
"18",2017-03-01,"1280563","(not set)",0
"19",2017-03-01,"1280566","(not set)",0
"20",2017-03-01,"1280578","(not set)",0
"21",2017-03-01,"1280581","(not set)",0
"22",2017-03-01,"1280584","(not set)",0
"23",2017-03-01,"1280590","(not set)",0
"24",2017-03-01,"1669101","(not set)",0
"25",2017-03-01,"1717781","(not set)",0
"26",2017-03-01,"1735911","(not set)",0
"27",2017-03-01,"1735931","(not set)",0
"28",2017-03-01,"1736021","(not set)",0
"29",2017-03-01,"1736111","(not set)",0
"30",2017-03-01,"1736121","(not set)",0
"31",2017-03-01,"1736151","(not set)",0
"32",2017-03-01,"1736221","(not set)",0
"33",2017-03-01,"1736271","(not set)",0
"34",2017-03-01,"1736301","(not set)",0
"35",2017-03-01,"1736311","(not set)",0
"36",2017-03-01,"1736321","(not set)",0
"37",2017-03-01,"1736331","(not set)",0
"38",2017-03-01,"1736351","(not set)",0
"39",2017-03-01,"1736361","(not set)",0
"40",2017-03-01,"1736381","(not set)",0
"41",2017-03-01,"1736401","(not set)",0
"42",2017-03-01,"1736411","(not set)",0
"43",2017-03-01,"1736421","(not set)",0
"44",2017-03-01,"1736441","(not set)",0
"45",2017-03-01,"1736471","(not set)",0
"46",2017-03-01,"1736491","(not set)",0
"47",2017-03-01,"1736501","(not set)",0
"48",2017-03-01,"1736511","(not set)",0
"49",2017-03-01,"1736541","(not set)",0
"50",2017-03-01,"1736551","(not set)",0
"51",2017-03-01,"1736581","(not set)",0
"52",2017-03-01,"1736691","(not set)",0
"53",2017-03-01,"1736751","(not set)",0
"54",2017-03-02,"1277400","(not set)",0
"55",2017-03-02,"1277401","(not set)",0
"56",2017-03-02,"1737101","(not set)",0
"57",2017-03-02,"1737251","(not set)",0
"58",2017-03-02,"1737261","(not set)",0
"59",2017-03-02,"1737291","(not set)",0
"60",2017-03-02,"1737481","(not set)",0
"61",2017-03-02,"1737601","(not set)",0
"62",2017-03-02,"1737721","(not set)",0
"63",2017-03-02,"1737741","(not set)",0
"64",2017-03-02,"1737751","(not set)",0
"65",2017-03-02,"1737771","(not set)",0
"66",2017-03-02,"1737791","(not set)",0
"67",2017-03-02,"1737851","(not set)",0
"68",2017-03-02,"1737861","(not set)",0
"69",2017-03-02,"1737871","(not set)",0
"70",2017-03-02,"1737881","(not set)",0
"71",2017-03-02,"1737901","(not set)",0
"72",2017-03-02,"1737921","(not set)",0
"73",2017-03-02,"1737971","(not set)",0
"74",2017-03-02,"1737981","(not set)",0
"75",2017-03-02,"1737991","(not set)",0
"76",2017-03-02,"1738031","(not set)",0
"77",2017-03-02,"1738041","(not set)",0
"78",2017-03-02,"1738071","(not set)",0
"79",2017-03-02,"1738091","(not set)",0
"80",2017-03-02,"1738101","(not set)",0
"81",2017-03-02,"1738131","(not set)",0
"82",2017-03-02,"1738261","(not set)",0
"83",2017-03-03,"1277402","(not set)",0
"84",2017-03-03,"1277404","(not set)",0
"85",2017-03-03,"1277407","(not set)",0
"86",2017-03-03,"1277752","(not set)",0
"87",2017-03-03,"1277760","(not set)",0
"88",2017-03-03,"1277761","(not set)",0
"89",2017-03-03,"1277763","(not set)",0
"90",2017-03-03,"1277765","(not set)",0
"91",2017-03-03,"1280608","(not set)",0
"92",2017-03-03,"1280614","(not set)",0
"93",2017-03-03,"1280653","(not set)",0
"94",2017-03-03,"1609081","(not set)",0
"95",2017-03-03,"1622111","(not set)",0
"96",2017-03-03,"1727727","(not set)",0
"97",2017-03-03,"1727729","(not set)",0
"98",2017-03-03,"1727730","(not set)",0
"99",2017-03-03,"1727732","(not set)",0
"100",2017-03-03,"1738031","(not set)",0
"101",2017-03-03,"1738391","(not set)",0
"102",2017-03-03,"1738401","(not set)",0
"103",2017-03-03,"1738431","(not set)",0
"104",2017-03-03,"1738451","(not set)",0
"105",2017-03-03,"1738471","(not set)",0
"106",2017-03-03,"1738481","(not set)",0
"107",2017-03-03,"1742491","(not set)",0
"108",2017-03-03,"1742601","(not set)",0
"109",2017-03-03,"1742611","(not set)",0
"110",2017-03-03,"1742721","(not set)",0
"111",2017-03-03,"1742771","(not set)",0
"112",2017-03-03,"1742801","(not set)",0
"113",2017-03-03,"1742821","(not set)",0
"114",2017-03-03,"1742851","(not set)",0
"115",2017-03-03,"1742921","(not set)",0
"116",2017-03-03,"1743021","(not set)",0
"117",2017-03-03,"1743091","(not set)",0
"118",2017-03-03,"1743111","(not set)",0
"119",2017-03-03,"1743121","(not set)",0
"120",2017-03-03,"1743131","(not set)",0
"121",2017-03-03,"1743191","(not set)",0
"122",2017-03-03,"1743201","(not set)",0
"123",2017-03-03,"1743211","(not set)",0
"124",2017-03-03,"1743221","(not set)",0
"125",2017-03-03,"1743231","(not set)",0
"126",2017-03-03,"1743241","(not set)",0
"127",2017-03-03,"1743251","(not set)",0
"128",2017-03-03,"1743291","(not set)",0
"129",2017-03-03,"1743341","(not set)",0
"130",2017-03-03,"1743351","(not set)",0
"131",2017-03-03,"1743391","(not set)",0
"132",2017-03-03,"1743411","(not set)",0
"133",2017-03-03,"1743421","(not set)",0
"134",2017-03-03,"1743441","(not set)",0
"135",2017-03-03,"1743451","(not set)",0
"136",2017-03-03,"1743461","(not set)",0
"137",2017-03-03,"1743501","(not set)",0
"138",2017-03-03,"1743541","(not set)",0
"139",2017-03-03,"1743601","(not set)",0
"140",2017-03-03,"1743611","(not set)",0
"141",2017-03-03,"1743651","(not set)",0
"142",2017-03-03,"1743681","(not set)",0
"143",2017-03-03,"1743691","(not set)",0
"144",2017-03-03,"1743751","(not set)",0
